Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;07;Rheinland-Pfalz;unter 3 Jahre;114890;59028;55862;98215;50443;47772;16675;8585;8090
31.12.2019;07;Rheinland-Pfalz;3 bis unter 6 Jahre;114758;58849;55909;99025;50649;48376;15733;8200;7533
31.12.2019;07;Rheinland-Pfalz;6 bis unter 10 Jahre;142526;73254;69272;125078;64177;60901;17448;9077;8371
31.12.2019;07;Rheinland-Pfalz;10 bis unter 15 Jahre;179464;92697;86767;159746;82165;77581;19718;10532;9186
31.12.2019;07;Rheinland-Pfalz;15 bis unter 18 Jahre;113076;58423;54653;102187;52508;49679;10889;5915;4974
31.12.2019;07;Rheinland-Pfalz;18 bis unter 20 Jahre;83280;43149;40131;73908;37762;36146;9372;5387;3985
31.12.2019;07;Rheinland-Pfalz;20 bis unter 25 Jahre;229208;119819;109389;188762;96154;92608;40446;23665;16781
31.12.2019;07;Rheinland-Pfalz;25 bis unter 30 Jahre;248453;129843;118610;199555;102385;97170;48898;27458;21440
31.12.2019;07;Rheinland-Pfalz;30 bis unter 35 Jahre;253461;130832;122629;204951;104244;100707;48510;26588;21922
31.12.2019;07;Rheinland-Pfalz;35 bis unter 40 Jahre;246243;124312;121931;201352;100888;100464;44891;23424;21467
31.12.2019;07;Rheinland-Pfalz;40 bis unter 45 Jahre;231141;115354;115787;188182;93288;94894;42959;22066;20893
31.12.2019;07;Rheinland-Pfalz;45 bis unter 50 Jahre;255172;126447;128725;215397;106062;109335;39775;20385;19390
31.12.2019;07;Rheinland-Pfalz;50 bis unter 55 Jahre;337081;168949;168132;303661;151564;152097;33420;17385;16035
31.12.2019;07;Rheinland-Pfalz;55 bis unter 60 Jahre;348575;174135;174440;322923;160805;162118;25652;13330;12322
31.12.2019;07;Rheinland-Pfalz;60 bis unter 65 Jahre;296266;146646;149620;278299;137592;140707;17967;9054;8913
31.12.2019;07;Rheinland-Pfalz;65 bis unter 70 Jahre;256032;124315;131717;242790;118445;124345;13242;5870;7372
31.12.2019;07;Rheinland-Pfalz;70 bis unter 75 Jahre;182274;86892;95382;171311;81396;89915;10963;5496;5467
31.12.2019;07;Rheinland-Pfalz;75 bis unter 80 Jahre;179971;81123;98848;173025;77416;95609;6946;3707;3239
31.12.2019;07;Rheinland-Pfalz;80 bis unter 85 Jahre;160981;68083;92898;156886;65932;90954;4095;2151;1944
31.12.2019;07;Rheinland-Pfalz;85 bis unter 90 Jahre;78289;28983;49306;76576;28159;48417;1713;824;889
31.12.2019;07;Rheinland-Pfalz;90 Jahre und mehr;42762;11871;30891;41847;11562;30285;915;309;606
31.12.2019;08;Baden-W�rttemberg, Land;unter 3 Jahre;328592;168376;160216;282169;144556;137613;46423;23820;22603
31.12.2019;08;Baden-W�rttemberg, Land;3 bis unter 6 Jahre;320453;164273;156180;275010;140797;134213;45443;23476;21967
31.12.2019;08;Baden-W�rttemberg, Land;6 bis unter 10 Jahre;399112;205179;193933;345925;177469;168456;53187;27710;25477
31.12.2019;08;Baden-W�rttemberg, Land;10 bis unter 15 Jahre;510371;261406;248965;451648;230779;220869;58723;30627;28096
31.12.2019;08;Baden-W�rttemberg, Land;15 bis unter 18 Jahre;320254;165654;154600;285476;147236;138240;34778;18418;16360
31.12.2019;08;Baden-W�rttemberg, Land;18 bis unter 20 Jahre;234516;121893;112623;204903;105223;99680;29613;16670;12943
31.12.2019;08;Baden-W�rttemberg, Land;20 bis unter 25 Jahre;671697;354709;316988;523119;269769;253350;148578;84940;63638
31.12.2019;08;Baden-W�rttemberg, Land;25 bis unter 30 Jahre;731217;384128;347089;544856;280224;264632;186361;103904;82457
31.12.2019;08;Baden-W�rttemberg, Land;30 bis unter 35 Jahre;745124;387984;357140;556537;283970;272567;188587;104014;84573
